date,state,State,Population,Negative PCR tests,Cases or Positive PCR tests,Cases Per 100000,Total PCR tests,PCR Per 100000,Positivity
20200904,WY,Wyoming,578759,74312,3373,583,77685,13423,0.04
20200904,NE,Nebraska,1934408,338123,35469,1834,374035,19336,0.09
20200904,ND,North Dakota,762062,194783,12973,1702,207756,27262,0.06
20200904,NC,North Carolina,10488084,2214842,174254,1661,2389096,22779,0.07
20200904,MT,Montana,1068778,251969,8019,750,259988,24326,0.03
20200904,NH,New Hampshire,1359711,209895,7368,542,217263,15979,0.03
20200904,MP,Northern Mariana Islands,56882,13484,57,100,13541,23805,0
20200904,MO,Missouri,6137428,931515,90215,1470,1021730,16648,0.09
20200904,MN,Minnesota,5639632,1089341,78966,1400,1168307,20716,0.07
20200904,MI,Michigan,9986857,2761686,105377,1055,2867063,28708,0.04
20200904,ME,Maine,1344212,281971,4164,310,286135,21286,0.01
20200904,NJ,New Jersey,8882190,2771300,193422,2178,2964722,33378,0.07
20200904,MD,Maryland,6045680,1260634,110831,1833,1371465,22685,0.08
20200904,NM,New Mexico,2096829,750984,25812,1231,776796,37046,0.03
20200904,MA,Massachusetts,6892503,1699106,120038,1742,1819144,26393,0.07
20200904,NV,Nevada,3080156,538103,70712,2296,608815,19766,0.12
20200904,LA,Louisiana,4648794,1780275,151473,3258,1931748,41554,0.08
20200904,NY,New York,19453561,8172882,437971,2251,8610853,44264,0.05
20200904,KY,Kentucky,4467673,800763,46846,1049,847609,18972,0.06
20200904,OH,Ohio,11689100,2221141,121765,1042,2342906,20044,0.05
20200904,KS,Kansas,2913314,381985,,0,381985,13112,0
20200904,OK,Oklahoma,3956971,852355,62040,1568,914395,23108,0.07
20200904,IN,Indiana,6732219,1019543,,0,1019543,15144,0
20200904,OR,Oregon,4217737,549328,26268,623,575596,13647,0.05
20200904,IL,Illinois,12671821,4064570,245371,1936,4309941,34012,0.06
20200904,PA,Pennsylvania,12801989,1576879,133731,1045,1710610,13362,0.08
20200904,ID,Idaho,1787065,230800,30489,1706,261289,14621,0.12
20200904,PR,Puerto Rico,3725789,305972,16101,432,322073,8644,0.05
20200904,IA,Iowa,3155070,575721,66614,2111,642335,20359,0.1
20200904,RI,Rhode Island,1059361,261763,22243,2100,284006,26809,0.08
20200904,HI,Hawaii,1415872,204520,,0,204520,14445,0
20200904,SC,South Carolina,5148714,858659,121378,2357,980037,19035,0.12
20200904,GU,Guam,165768,38493,1619,977,40112,24198,0.04
20200904,SD,South Dakota,884659,137697,,0,137697,15565,0
20200904,GA,Georgia,10617423,2152771,279354,2631,2432125,22907,0.11
20200904,TN,Tennessee,6829174,2122637,156398,2290,2279035,33372,0.07
20200904,FL,Florida,21477737,4099796,640211,2981,4740007,22069,0.14
20200904,TX,Texas,28995881,4488924,630829,2176,5119753,17657,0.12
20200904,DE,Delaware,973764,228890,16762,1721,245652,25227,0.07
20200904,UT,Utah,3205958,625877,53839,1679,679716,21202,0.08
20200904,DC,District of Columbia,705749,289165,,0,289165,40973,0
20200904,VA,Virginia,8535519,1515049,119259,1397,1634308,19147,0.07
20200904,CT,Connecticut,3565287,1184293,51221,1437,1235514,34654,0.04
20200904,VI,U.S. Virgin Islands,106977,15790,,0,15790,14760,0
20200904,CO,Colorado,5758736,670728,54367,944,725095,12591,0.07
20200904,VT,Vermont,623989,140556,1642,263,142198,22789,0.01
20200904,CA,California,39512223,11074687,722283,1828,11796970,29857,0.06
20200904,WA,Washington,7614893,1442233,75856,996,1518089,19936,0.05
